station id, station name, valid,povp. T [°C],količina padavin [mm]
_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 21:50,21.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 22:00,21.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 22:10,21.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 22:20,21.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 22:30,21,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 22:40,20.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 22:50,20.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 23:00,20.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 23:10,20.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 23:20,19.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 23:30,19.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 23:40,19.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 23:50,19.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 00:00,19.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 00:10,19.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 00:20,19.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 00:30,19.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 00:40,19,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 00:50,19,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 01:00,18.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 01:10,18.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 01:20,18.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 01:30,18.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 01:40,18.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 01:50,18.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 02:00,18.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 02:10,18,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 02:20,18,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 02:30,17.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 02:40,17.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 02:50,17.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 03:00,17.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 03:10,17.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 03:20,17.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 03:30,17.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 03:40,17.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 03:50,17.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 04:00,17.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 04:10,17,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 04:20,16.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 04:30,16.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 04:40,16.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 04:50,16.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 05:00,16.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 05:10,16.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 05:20,16.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 05:30,16.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 05:40,16.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 05:50,17.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 06:00,17.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 06:10,17.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 06:20,17.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 06:30,18,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 06:40,18.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 06:50,18.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 07:00,19.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 07:10,19.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 07:20,19.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 07:30,19.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 07:40,20,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 07:50,20.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 08:00,20.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 08:10,21,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 08:20,21.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 08:30,22,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 08:40,22.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 08:50,22.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 09:00,23.5,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 09:10,23.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 09:20,24.5,

